id;file_name;original_file_name;content_type;file_size;file_path;storage_type;file_data;file_data_content_type;created_at;updated_at;deleted;deleted_at
1;dîner électorat responsable;incognito moins;au-dessous direction;14981;au-devant découvrir déjà;LOCAL;../fake-data/blob/hipster.png;image/png;2025-02-17T16:19:23;2025-02-17T09:32:06;true;2025-02-17T03:59:14
2;pendant que;si bien que à travers malade;quoique rassurer;1059;constituer euh approximativement;DATABASE;../fake-data/blob/hipster.png;image/png;2025-02-17T11:41:28;2025-02-17T18:12:56;false;2025-02-17T16:34:44
3;très;à bas de combien devant;oui tic-tac;26537;d’autant que répartir rectorat;LOCAL;../fake-data/blob/hipster.png;image/png;2025-02-17T14:51:17;2025-02-17T19:12:12;false;2025-02-16T21:48:55
4;approcher grimper;paf à l'exception de de crainte que;de sorte que chef impromptu;27487;aux alentours de;LOCAL;../fake-data/blob/hipster.png;image/png;2025-02-17T19:42:13;2025-02-17T12:31:52;true;2025-02-17T00:09:21
5;derrière géométrique diplomate;dans la mesure où;après;21353;proche que quand;LOCAL;../fake-data/blob/hipster.png;image/png;2025-02-17T02:35:04;2025-02-17T09:04:14;false;2025-02-17T19:53:19
6;spécialiste;sauf police;ouin;18814;en decà de administration;DATABASE;../fake-data/blob/hipster.png;image/png;2025-02-17T12:03:29;2025-02-17T14:42:10;false;2025-02-17T16:56:34
7;chut dynamique sans que;mature ensuite;former cuicui sitôt que;12815;communauté étudiante;LOCAL;../fake-data/blob/hipster.png;image/png;2025-02-17T07:18:20;2025-02-17T15:36:15;true;2025-02-17T01:52:16
8;oui;suffisamment au point que parlementaire;ha cadre;32562;cot cot pour que;LOCAL;../fake-data/blob/hipster.png;image/png;2025-02-17T12:42:52;2025-02-17T16:41:46;false;2025-02-17T20:53:31
9;camarade;parmi;adversaire déjà au-dehors;4637;vis-à-vie de via;LOCAL;../fake-data/blob/hipster.png;image/png;2025-02-17T14:22:47;2025-02-17T13:43:34;false;2025-02-17T12:56:21
10;au-dessous de;heurter compter géométrique;orange serviable;13848;croire;DATABASE;../fake-data/blob/hipster.png;image/png;2025-02-17T15:22:05;2025-02-17T05:25:20;false;2025-02-17T02:53:18
